person_id,count,name
236926,2,Bedran Güzel
813127,2,An Gil-ho
304472,2,Luv Ranjan
36985,2,Johnnie To
439446,2,Magdy Ahmed Aly
1509907,2,Peter Mimi
1603075,2,Kenneth Gyang
111677,2,Pedro Kos
5395,2,John Wells
18336,2,Mark Waters
127607,2,Stuart McDonald
1019905,2,Oh Jin-seok
212982,2,Abhishek Sharma
187265,2,Lijo Jose Pellissery
627537,2,Chris Robinson
226132,2,Renato De Maria
237745,2,Monika Mitchell
55521,2,Gabriela Tagliavini
186229,2,Gabriel Nuncio
203553,2,Roberto Santucci
37293,2,Alex Ranarivelo
200689,2,Yibrán Asuad
143176,2,Shankar
56754,2,Ziad Doueiri
432789,2,Rajiv Menon
65274,2,A.R. Murugadoss
875111,2,Dare Olaitan
87080,2,Alex Timbers
248812,2,Bruno Ascenzo
306360,2,Kim Hong-sun
354040,2,Daisuke Yamamuro
26809,2,Stephen Frears
18449,2,Gareth Evans
77785,2,Kyle Newacheck
238177,2,Drea Cooper
240416,2,Zackary Canepari
786140,2,Suzanne Coote
70632,2,Daniel Monzón
223,2,Nora Ephron
254542,2,Piotr Domalewski
729841,2,Umur Turagay
29678,2,Mike Barker
1548194,2,Michael Steed
243105,2,Jaime P. Habac Jr.
610739,2,Lee Eung-bok
401017,2,Rodrigo Triana
98241,2,Park Joon-hwa
117549,2,Jehane Noujaim
275973,2,Matt Angel
353029,2,Romain Gavras
2354,2,Chris Columbus
3630,2,Martin Campbell
821467,2,Diego Pignataro
1437285,2,Pedro Flores Maldonado
128216,2,Marcelo Galvão
23096,2,Tate Taylor
32953,2,Dito Montiel
102097,2,Jeffrey Walker
244311,2,Brian Oakes
281234,2,Jeremiah Zagar
282432,2,Luiz Bolognesi
13471,2,Joe Nussbaum
12772,2,Rob Letterman
303773,2,Andibachtiar Yusuf
289600,2,Mangesh Hadawale
127421,2,Jeff Tomsic
8492,2,Jeff Tremaine
158489,2,Guillaume Nicloux
344526,2,Umesh Vinayak Kulkarni
64608,2,Marty Callner
1080864,2,Haruka Fujita
323632,2,Olivier Abbou
