id,title,score,director
tm529733,Chhota Bheem and the ShiNobi Secret,7.6,
tm898842,C/O Kaadhal,7.6,
tm56428,Trailer Park Boys: Say Goodnight to the Bad Guys,7.593999999999999,Mike Clattenburg
tm49037,Mobile Suit Gundam III: Encounters in Space,7.5805,Yoshiyuki Tomino
tm85243,The Trailer Park Boys Xmas Special,7.575,Mike Clattenburg
tm349803,Jim & Andy: The Great Beyond,7.571999999999999,Chris Smith
tm1269086,L.O.L. Surprise! Winter Fashion Show,7.569,John Kafka
tm855839,The Shadow in My Eye,7.561999999999999,Ole Bornedal
tm1074764,Shiny_Flakes: The Teenage Drug Lord,7.561,Eva Müller
tm435520,The Two Popes,7.561,Fernando Meirelles
tm28366,A Wednesday!,7.560499999999999,Neeraj Pandey
tm1126268,Hustle,7.560499999999999,Jeremiah Zagar
tm813078,Prayers for the Stolen,7.5600000000000005,Tatiana Huezo
tm977782,Shawn Mendes: Live in Concert,7.559,Paul Dugdale
tm1132485,Stealing Raden Saleh,7.558999999999999,Angga Dwimas Sasongko
tm1204402,Ricky Gervais: SuperNature,7.5555,John L. Spencer
tm114504,The Legend of Bhagat Singh,7.552999999999999,Rajkumar Santoshi
tm847085,The Social Dilemma,7.551,Jeff Orlowski
tm830151,One Day We'll Talk About Today,7.550000000000001,Angga Dwimas Sasongko
tm424888,Armed to the Teeth,7.550000000000001,Alberto Arnaut Estrada
tm1166273,Facing Nolan,7.550000000000001,Bradley Jackson
tm363088,Russell Howard: Recalibrate,7.550000000000001,Peter Orton
tm1119272,14 Peaks: Nothing Is Impossible,7.550000000000001,Torquil Jones
tm1142245,Kadaseela Biriyani,7.550000000000001,Nishanth Kalidindi
tm244513,Divines,7.550000000000001,Houda Benyamina
tm368679,Madness in the Desert,7.550000000000001,Satyajit Bhatkal
tm1096916,The Trial of Adolf Eichmann,7.550000000000001,Michaël Prazan
tm144835,Sergio,7.550000000000001,Greg Barker
tm229140,Anthony Jeselnik: Thoughts and Prayers,7.550000000000001,Adam Dubin
tm999817,Green Snake,7.550000000000001,Amp Wong
tm1260999,Sweetie,7.550000000000001,Selçuk Metin
tm169054,Bhaji in Problem,7.55,Smeep Kang
tm356666,Judah Friedlander: America Is the Greatest Country in the United States,7.55,Judah Friedlander
tm417317,Bhavesh Joshi Superhero,7.55,Vikramaditya Motwane
tm59880,Mike Birbiglia: What I Should Have Said Was Nothing,7.55,Cisco Henson
tm325325,The Game Changers,7.55,Louie Psihoyos
tm837756,I'm No Longer Here,7.55,Fernando Frias
tm983723,The Sparks Brothers,7.55,Edgar Wright
tm367473,Bad Seeds,7.55,Kheiron
tm143642,Who Am I,7.55,Baran bo Odar
tm1080223,"Hallelujah: Leonard Cohen, A Journey, A Song",7.55,Dayna Goldfine
tm1080223,"Hallelujah: Leonard Cohen, A Journey, A Song",7.55,Daniel Geller
tm984484,Guvva Gorinka,7.55,Mohan Babu Bammidi
tm67635,Kuch Kuch Hota Hai,7.55,Karan Johar
tm434830,The Grizzlies,7.55,Miranda de Pencier
tm148910,Haider,7.55,Vishal Bhardwaj
tm243931,The Beginning of Life,7.55,Estela Renner
tm465231,Nate Bargatze: The Tennessee Kid,7.55,Ryan Polito
tm855075,Rurouni Kenshin: The Beginning,7.5440000000000005,Keishi Ōtomo
tm147082,"What Happened, Miss Simone?",7.541499999999999,Liz Garbus
tm105329,Road to Perdition,7.5295000000000005,Sam Mendes
tm148662,The Boss: Anatomy of a Crime,7.513999999999999,Sebastián Schindel
tm991529,The Hand of God,7.511,Paolo Sorrentino
tm72846,Skyfall,7.5095,Sam Mendes
tm469991,I Lost My Body,7.5065,Jérémy Clapin
tm137072,The Hangover,7.5045,Todd Phillips
tm61056,Dil Chahta Hai,7.5024999999999995,Farhan Akhtar
tm1037351,The Swimmers,7.502000000000001,Sally El Hosaini
tm1172947,Toolsidas Junior,7.5,Mridul
tm366590,Sanju,7.5,Rajkumar Hirani
tm199408,Monty Python: The Meaning of Live,7.5,Roger Graef
tm149150,Still Alice,7.5,Richard Glatzer
tm863611,Kappela,7.5,
tm427465,Quincy,7.5,Rashida Jones
tm208903,For the Love of Spock,7.5,Adam Nimoy
tm62210,Rurouni Kenshin Part I: Origins,7.5,Keishi Ōtomo
tm854786,Yeh Ballet,7.5,Sooni Taraporevala
tm1033369,Plastic Island,7.5,Dandhy Laksono
tm1033369,Plastic Island,7.5,Rahung Nasution
tm446581,The Edge of Democracy,7.5,Petra Costa
tm524282,Invader ZIM: Enter the Florpus,7.5,Jenny Goldberg
tm1210970,Gladbeck: The Hostage Crisis,7.5,Volker Heise
tm199408,Monty Python: The Meaning of Live,7.5,James Rogan
tm244052,Sebastian Maniscalco: Why Would You Do That?,7.5,Joe DeMaio
tm52083,West Beirut,7.5,Ziad Doueiri
tm1119172,Puff: Wonders of the Reef,7.5,Nick Robinson
tm1073802,Mimi,7.5,Laxman Utekar
tm105278,Inuyasha the Movie 2: The Castle Beyond the Looking Glass,7.5,Toshiya Shinohara
tm524282,Invader ZIM: Enter the Florpus,7.5,Jake Wyatt
tm427465,Quincy,7.5,Alan Hicks
tm431347,Reversing Roe,7.5,Anne Sundberg
tm431347,Reversing Roe,7.5,Ricki Stern
tm504329,Bigger Than Africa,7.5,Toyin Ibrahim Adekeye
tm447750,Aggretsuko: We Wish You A Metal Christmas,7.5,Rareko
tm421748,Ee Nagaraniki Emaindi,7.5,Tharun Bhascker Dhaassyam
tm149150,Still Alice,7.5,Wash Westmoreland
tm828317,Tell Me Who I Am,7.5,Ed Perkins
tm157283,Güeros,7.5,Alonso Ruizpalacios
tm239727,Nocturnal Animals,7.5,Tom Ford
tm844497,The Irishman: In Conversation,7.5,
tm360904,The Meaning of Monty Python,7.5,Albert Sharpe
tm524282,Invader ZIM: Enter the Florpus,7.5,Jhonen Vasquez
tm458418,Tune in for Love,7.499,Jung Ji-woo
tm245297,Justin Timberlake + The Tennessee Kids,7.4975,Jonathan Demme
tm375729,Us and Them,7.497,René Liu
tm858000,Rurouni Kenshin: The Final,7.4935,Keishi Ōtomo
tm187279,Philomena,7.487,Stephen Frears
tm883441,Money Heist: The Phenomenon,7.487,Pablo Lejarreta
tm883441,Money Heist: The Phenomenon,7.487,Luis Alfaro
tm134235,One Piece: Strong World,7.484500000000001,Munehisa Sakai
tm245148,Jim Jefferies: Freedumb,7.484,Ryan Polito
tm822502,Whindersson Nunes: Adulto,7.481999999999999,Diego Pignataro
tm100029,Scott Pilgrim vs. the World,7.4785,Edgar Wright
tm1228854,Bill Burr: Live at Red Rocks,7.4775,Mike Binder
tm1137705,Purple Hearts,7.4665,Elizabeth Allen Rosenbaum
tm113842,Minority Report,7.4655000000000005,Steven Spielberg
tm233544,Marco Polo: One Hundred Eyes,7.4645,Alik Sakharov
tm1106044,100 días con la Tata,7.4555,Miguel Ángel Muñoz
tm307950,Mike Birbiglia: Thank God for Jokes,7.45,Seth Barrish
